Time_(days)	Vit_conc_(percent)
756	67.4954418172
756	67.4954418172
756	67.4954418172
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
757	67.4508676146
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
758	67.4063228489
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
759	67.3618075007
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
760	67.3173215506
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
761	67.2728649791
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
762	67.2284377669
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
763	67.1840398946
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
764	67.1396713428
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
765	67.0953320921
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
766	67.0510221231
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
767	67.0067414167
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
768	66.9624899533
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
769	66.9182677138
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
770	66.8740746787
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
771	66.8299108289
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
772	66.785776145
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
773	66.7416706078
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
774	66.6975941981
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
775	66.6535468965
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
776	66.6095286839
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
777	66.5655395411
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
778	66.5215794489
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
779	66.477648388
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
780	66.4337463394
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
781	66.3898732838
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
782	66.3460292021
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
783	66.3022140752
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
784	66.2584278839
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
785	66.2146706092
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
786	66.1709422319
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
787	66.1272427329
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
788	66.0835720933
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
789	66.0399302939
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
790	65.9963173156
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
791	65.9527331395
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
792	65.9091777466
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
793	65.8656511177
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
794	65.822153234
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
795	65.7786840764
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
796	65.735243626
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
797	65.6918318638
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
798	65.6484487709
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
799	65.6050943283
